label,name
Part time total (EF1988  All students  Undergraduate total),EFPT (EF1988  EFLEVEL=20)
Grand total (EF1988  All students  Graduate and First professional),EFTOTAL (EF1988  EFLEVEL=50)
Full time total (EF1988  All students  Graduate and First professional),EFFT (EF1988  EFLEVEL=50)
Part time total (EF1988  All students  Graduate and First professional),EFPT (EF1988  EFLEVEL=50)
Grand total (EF1987  All students  Undergraduate total),EFTOTAL (EF1987  EFLEVEL=20)
Full time total (EF1987  All students  Undergraduate total),EFFT (EF1987  EFLEVEL=20)
Part time total (EF1987  All students  Undergraduate total),EFPT (EF1987  EFLEVEL=20)
Grand total (EF1987  All students  Graduate and First professional),EFTOTAL (EF1987  EFLEVEL=50)
Full time total (EF1987  All students  Graduate and First professional),EFFT (EF1987  EFLEVEL=50)
Part time total (EF1987  All students  Graduate and First professional),EFPT (EF1987  EFLEVEL=50)
Grand total (EF1986  All students  Undergraduate total),EFTOTAL (EF1986  EFLEVEL=20)
Full time total (EF1986  All students  Undergraduate total),EFFT (EF1986  EFLEVEL=20)
Part time total (EF1986  All students  Undergraduate total),EFPT (EF1986  EFLEVEL=20)
Grand total (EF1986  All students  Graduate and First professional),EFTOTAL (EF1986  EFLEVEL=50)
Full time total (EF1986  All students  Graduate and First professional),EFFT (EF1986  EFLEVEL=50)
Part time total (EF1986  All students  Graduate and First professional),EFPT (EF1986  EFLEVEL=50)
Grand total (EF1985NW  All students  Undergraduate total),EFTOTAL (EF1985NW  EFLEVEL=20)
Full time total (EF1985NW  All students  Undergraduate total),EFFT (EF1985NW  EFLEVEL=20)
Part time total (EF1985NW  All students  Undergraduate total),EFPT (EF1985NW  EFLEVEL=20)
Grand total (EF1985NW  All students  Graduate and First professional),EFTOTAL (EF1985NW  EFLEVEL=50)
Full time total (EF1985NW  All students  Graduate and First professional),EFFT (EF1985NW  EFLEVEL=50)
Part time total (EF1985NW  All students  Graduate and First professional),EFPT (EF1985NW  EFLEVEL=50)
Grand total (EF1984NW  All students  Undergraduate total),EFTOTAL (EF1984NW  EFLEVEL=20)
Full time total (EF1984NW  All students  Undergraduate total),EFFT (EF1984NW  EFLEVEL=20)
Part time total (EF1984NW  All students  Undergraduate total),EFPT (EF1984NW  EFLEVEL=20)
Grand total (EF1984NW  All students  Graduate and First professional),EFTOTAL (EF1984NW  EFLEVEL=50)
Full time total (EF1984NW  All students  Graduate and First professional),EFFT (EF1984NW  EFLEVEL=50)
Part time total (EF1984NW  All students  Graduate and First professional),EFPT (EF1984NW  EFLEVEL=50)
Grand total (EF1980  All students  Undergraduate total),EFTOTAL (EF1980  EFLEVEL=20)
Full time total (EF1980  All students  Undergraduate total),EFFT (EF1980  EFLEVEL=20)
Part time total (EF1980  All students  Undergraduate total),EFPT (EF1980  EFLEVEL=20)
Grand total (EF1980  All students  Graduate and First professional),EFTOTAL (EF1980  EFLEVEL=50)
Full time total (EF1980  All students  Graduate and First professional),EFFT (EF1980  EFLEVEL=50)
Part time total (EF1980  All students  Graduate and First professional),EFPT (EF1980  EFLEVEL=50)
Total price for in-district students living on campus  2014-15 (DRVIC2014),CINDON (DRVIC2014)
Total price for in-state students living on campus 2014-15 (DRVIC2014),CINSON (DRVIC2014)
Total price for out-of-state students living on campus 2014-15 (DRVIC2014),COTSON (DRVIC2014)
Grand total (EF2014  All students  Undergraduate total),EFTOTAL (EF2014  EFLEVEL=20)
Full time total (EF2014  All students  Undergraduate total),EFFT (EF2014  EFLEVEL=20)
Part time total (EF2014  All students  Undergraduate total),EFPT (EF2014  EFLEVEL=20)
Grand total (EF2014  All students  Graduate and First professional),EFTOTAL (EF2014  EFLEVEL=50)
Full time total (EF2014  All students  Graduate and First professional),EFFT (EF2014  EFLEVEL=50)
Part time total (EF2014  All students  Graduate and First professional),EFPT (EF2014  EFLEVEL=50)
Total price for in-district students living on campus  2013-14 (DRVIC2013_RV),CINDON (DRVIC2013_RV)
Total price for in-state students living on campus 2013-14 (DRVIC2013_RV),CINSON (DRVIC2013_RV)
Total price for out-of-state students living on campus 2013-14 (DRVIC2013_RV),COTSON (DRVIC2013_RV)
Grand total (EF2013  All students  Undergraduate total),EFTOTAL (EF2013  EFLEVEL=20)
Full time total (EF2013  All students  Undergraduate total),EFFT (EF2013  EFLEVEL=20)
Part time total (EF2013  All students  Undergraduate total),EFPT (EF2013  EFLEVEL=20)
Grand total (EF2013  All students  Graduate and First professional),EFTOTAL (EF2013  EFLEVEL=50)
Full time total (EF2013  All students  Graduate and First professional),EFFT (EF2013  EFLEVEL=50)
Part time total (EF2013  All students  Graduate and First professional),EFPT (EF2013  EFLEVEL=50)
Total price for in-district students living on campus  2012-13 (DRVIC2012_RV),CINDON (DRVIC2012_RV)
Total price for in-state students living on campus 2012-13 (DRVIC2012_RV),CINSON (DRVIC2012_RV)
Total price for out-of-state students living on campus 2012-13 (DRVIC2012_RV),COTSON (DRVIC2012_RV)
Grand total (EF2012_RV  All students  Undergraduate total),EFTOTAL (EF2012_RV  EFLEVEL=20)
Full time total (EF2012_RV  All students  Undergraduate total),EFFT (EF2012_RV  EFLEVEL=20)
Part time total (EF2012_RV  All students  Undergraduate total),EFPT (EF2012_RV  EFLEVEL=20)
Grand total (EF2012_RV  All students  Graduate and First professional),EFTOTAL (EF2012_RV  EFLEVEL=50)
Full time total (EF2012_RV  All students  Graduate and First professional),EFFT (EF2012_RV  EFLEVEL=50)
Part time total (EF2012_RV  All students  Graduate and First professional),EFPT (EF2012_RV  EFLEVEL=50)
Total price for in-district students living on campus  2011-12 (DRVIC2011_RV),CINDON (DRVIC2011_RV)
Total price for in-state students living on campus 2011-12 (DRVIC2011_RV),CINSON (DRVIC2011_RV)
Total price for out-of-state students living on campus 2011-12 (DRVIC2011_RV),COTSON (DRVIC2011_RV)
Grand total (EF2011_RV  All students  Undergraduate total),EFTOTAL (EF2011_RV  EFLEVEL=20)
Full time total (EF2011_RV  All students  Undergraduate total),EFFT (EF2011_RV  EFLEVEL=20)
Part time total (EF2011_RV  All students  Undergraduate total),EFPT (EF2011_RV  EFLEVEL=20)
Grand total (EF2011_RV  All students  Graduate and First professional),EFTOTAL (EF2011_RV  EFLEVEL=50)
Full time total (EF2011_RV  All students  Graduate and First professional),EFFT (EF2011_RV  EFLEVEL=50)
Part time total (EF2011_RV  All students  Graduate and First professional),EFPT (EF2011_RV  EFLEVEL=50)
Total price for in-district students living on campus  2010-11 (DRVIC2010_RV),CINDON (DRVIC2010_RV)
Total price for in-state students living on campus 2010-11 (DRVIC2010_RV),CINSON (DRVIC2010_RV)
Total price for out-of-state students living on campus 2010-11 (DRVIC2010_RV),COTSON (DRVIC2010_RV)
Grand total (EF2010_RV  All students  Undergraduate total),EFTOTAL (EF2010_RV  EFLEVEL=20)
Full time total (EF2010_RV  All students  Undergraduate total),EFFT (EF2010_RV  EFLEVEL=20)
Part time total (EF2010_RV  All students  Undergraduate total),EFPT (EF2010_RV  EFLEVEL=20)
Grand total (EF2010_RV  All students  Graduate and First professional),EFTOTAL (EF2010_RV  EFLEVEL=50)
Full time total (EF2010_RV  All students  Graduate and First professional),EFFT (EF2010_RV  EFLEVEL=50)
Part time total (EF2010_RV  All students  Graduate and First professional),EFPT (EF2010_RV  EFLEVEL=50)
Total price for in-district students living on campus  2009-10 (DRVIC2009_RV),CINDON (DRVIC2009_RV)
Total price for in-state students living on campus 2009-10 (DRVIC2009_RV),CINSON (DRVIC2009_RV)
Total price for out-of-state students living on campus 2009-10 (DRVIC2009_RV),COTSON (DRVIC2009_RV)
Grand total (EF2009_RV  All students  Undergraduate total),EFTOTAL (EF2009_RV  EFLEVEL=20)
Full time total (EF2009_RV  All students  Undergraduate total),EFFT (EF2009_RV  EFLEVEL=20)
Part time total (EF2009_RV  All students  Undergraduate total),EFPT (EF2009_RV  EFLEVEL=20)
Grand total (EF2009_RV  All students  Graduate and First professional),EFTOTAL (EF2009_RV  EFLEVEL=50)
Full time total (EF2009_RV  All students  Graduate and First professional),EFFT (EF2009_RV  EFLEVEL=50)
Part time total (EF2009_RV  All students  Graduate and First professional),EFPT (EF2009_RV  EFLEVEL=50)
Total price for in-district students living on campus  2008-09 (DRVIC2008),CINDON (DRVIC2008)
Total price for in-state students living on campus 2008-09 (DRVIC2008),CINSON (DRVIC2008)
Total price for out-of-state students living on campus 2008-09 (DRVIC2008),COTSON (DRVIC2008)
Grand total (EF2008  All students  Undergraduate total),EFTOTAL (EF2008  EFLEVEL=20)
Full time total (EF2008  All students  Undergraduate total),EFFT (EF2008  EFLEVEL=20)
Part time total (EF2008  All students  Undergraduate total),EFPT (EF2008  EFLEVEL=20)
Grand total (EF2008  All students  Graduate and First professional),EFTOTAL (EF2008  EFLEVEL=50)
Full time total (EF2008  All students  Graduate and First professional),EFFT (EF2008  EFLEVEL=50)
Part time total (EF2008  All students  Graduate and First professional),EFPT (EF2008  EFLEVEL=50)
Total price for in-district students living on campus  2007-08 (DRVIC2007),CINDON (DRVIC2007)
Total price for in-state students living on campus 2007-08 (DRVIC2007),CINSON (DRVIC2007)
Total price for out-of-state students living on campus 2007-08 (DRVIC2007),COTSON (DRVIC2007)
Grand total (EF2007  All students  Undergraduate total),EFTOTAL (EF2007  EFLEVEL=20)
Full time total (EF2007  All students  Undergraduate total),EFFT (EF2007  EFLEVEL=20)
Part time total (EF2007  All students  Undergraduate total),EFPT (EF2007  EFLEVEL=20)
Grand total (EF2007  All students  Graduate and First professional),EFTOTAL (EF2007  EFLEVEL=50)
Full time total (EF2007  All students  Graduate and First professional),EFFT (EF2007  EFLEVEL=50)
Part time total (EF2007  All students  Graduate and First professional),EFPT (EF2007  EFLEVEL=50)
Total price for in-district students living on campus  2006-07 (DRVIC2006),CINDON (DRVIC2006)
Total price for in-state students living on campus 2006-07 (DRVIC2006),CINSON (DRVIC2006)
Total price for out-of-state students living on campus 2006-07 (DRVIC2006),COTSON (DRVIC2006)
Grand total (EF2006  All students  Undergraduate total),EFTOTAL (EF2006  EFLEVEL=20)
Full time total (EF2006  All students  Undergraduate total),EFFT (EF2006  EFLEVEL=20)
Part time total (EF2006  All students  Undergraduate total),EFPT (EF2006  EFLEVEL=20)
Grand total (EF2006  All students  Graduate and First professional),EFTOTAL (EF2006  EFLEVEL=50)
Full time total (EF2006  All students  Graduate and First professional),EFFT (EF2006  EFLEVEL=50)
Part time total (EF2006  All students  Graduate and First professional),EFPT (EF2006  EFLEVEL=50)
Total price for in-district students living on campus  2005-06 (IC2005_AY),CINDON (IC2005_AY)
Total price for in-state students living on campus 2005-06 (IC2005_AY),CINSON (IC2005_AY)
Total price for out-of-state students living on campus 2005-06 (IC2005_AY),COTSON (IC2005_AY)
Grand total (EF2005  All students  Undergraduate total),EFTOTAL (EF2005  EFLEVEL=20)
Full time total (EF2005  All students  Undergraduate total),EFFT (EF2005  EFLEVEL=20)
Part time total (EF2005  All students  Undergraduate total),EFPT (EF2005  EFLEVEL=20)
Grand total (EF2005  All students  Graduate and First professional),EFTOTAL (EF2005  EFLEVEL=50)
Full time total (EF2005  All students  Graduate and First professional),EFFT (EF2005  EFLEVEL=50)
Part time total (EF2005  All students  Graduate and First professional),EFPT (EF2005  EFLEVEL=50)
Total price for in-district students living on campus  2004-2005 (IC2004_AY),CINDON (IC2004_AY)
Total price for in-state students living on campus 2004-2005 (IC2004_AY),CINSON (IC2004_AY)
Total price for out-of-state students living on campus 2004-2005 (IC2004_AY),COTSON (IC2004_AY)
Grand total (EF2004  All students  Undergraduate total),EFTOTAL (EF2004  EFLEVEL=20)
Full time total (EF2004  All students  Undergraduate total),EFFT (EF2004  EFLEVEL=20)
Part time total (EF2004  All students  Undergraduate total),EFPT (EF2004  EFLEVEL=20)
Grand total (EF2004  All students  Graduate and First professional),EFTOTAL (EF2004  EFLEVEL=50)
Full time total (EF2004  All students  Graduate and First professional),EFFT (EF2004  EFLEVEL=50)
Part time total (EF2004  All students  Graduate and First professional),EFPT (EF2004  EFLEVEL=50)
Total price for in-district students living on campus  2003-2004 (IC2003_AY),CINDON (IC2003_AY)
Total price for in-state students living on campus 2003-2004 (IC2003_AY),CINSON (IC2003_AY)
Total price out-of-state students living on campus 2003-2004 (IC2003_AY),COTSON (IC2003_AY)
Grand total (EF2003  All students  Undergraduate total),EFTOTAL (EF2003  EFLEVEL=20)
Full time total (EF2003  All students  Undergraduate total),EFFT (EF2003  EFLEVEL=20)
Part time total (EF2003  All students  Undergraduate total),EFPT (EF2003  EFLEVEL=20)
Grand total (EF2003  All students  Graduate and First professional),EFTOTAL (EF2003  EFLEVEL=50)
Full time total (EF2003  All students  Graduate and First professional),EFFT (EF2003  EFLEVEL=50)
Part time total (EF2003  All students  Graduate and First professional),EFPT (EF2003  EFLEVEL=50)
Total price for in-district students living on campus  2002-2003 (HD2002),CINDON (HD2002)
Total price for in-state students living on campus 2002-2003 (HD2002),CINSON (HD2002)
Total price out-of-state students living on campus 2002-2003 (HD2002),COTSON (HD2002)
Grand total (EF2002  All students  Undergraduate total),EFTOTAL (EF2002  EFLEVEL=20)
Full time total (EF2002  All students  Undergraduate total),EFFT (EF2002  EFLEVEL=20)
Part time total (EF2002  All students  Undergraduate total),EFPT (EF2002  EFLEVEL=20)
Grand total (EF2002  All students  Graduate and First professional),EFTOTAL (EF2002  EFLEVEL=50)
Full time total (EF2002  All students  Graduate and First professional),EFFT (EF2002  EFLEVEL=50)
Part time total (EF2002  All students  Graduate and First professional),EFPT (EF2002  EFLEVEL=50)
Total price for in-district students living on campus  2001-2002 (FA2001HD),CINDON (FA2001HD)
Total price for in-state students living on campus 2001-2002 (FA2001HD),CINSON (FA2001HD)
Total price out-of-state students living on campus 2001-2002 (FA2001HD),COTSON (FA2001HD)
Grand total (EF2001  All students  Undergraduate total),EFTOTAL (EF2001  EFLEVEL=20)
Full time total (EF2001  All students  Undergraduate total),EFFT (EF2001  EFLEVEL=20)
Part time total (EF2001  All students  Undergraduate total),EFPT (EF2001  EFLEVEL=20)
Grand total (EF2001  All students  Graduate and First professional),EFTOTAL (EF2001  EFLEVEL=50)
Full time total (EF2001  All students  Graduate and First professional),EFFT (EF2001  EFLEVEL=50)
Part time total (EF2001  All students  Graduate and First professional),EFPT (EF2001  EFLEVEL=50)
Total price for in-district students living on campus  2000-2001 (FA2000HD),CINDON (FA2000HD)
Total price for in-state students living on campus 2000-2001 (FA2000HD),CINSON (FA2000HD)
Total price out-of-state students living on campus 2000-2001 (FA2000HD),COTSON (FA2000HD)
Grand total (EF2000  All students  Undergraduate total),EFTOTAL (EF2000  EFLEVEL=20)
Full time total (EF2000  All students  Undergraduate total),EFFT (EF2000  EFLEVEL=20)
Part time total (EF2000  All students  Undergraduate total),EFPT (EF2000  EFLEVEL=20)
Grand total (EF2000  All students  Graduate and First professional),EFTOTAL (EF2000  EFLEVEL=50)
Full time total (EF2000  All students  Graduate and First professional),EFFT (EF2000  EFLEVEL=50)
Part time total (EF2000  All students  Graduate and First professional),EFPT (EF2000  EFLEVEL=50)
